"filename", "language", "Python", "pip requirements", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\lukew\OneDrive - Spencer Academies Trust\VS-code\python projects\NEA Project\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 1
"c:\Users\lukew\OneDrive - Spencer Academies Trust\VS-code\python projects\NEA Project\main.py", "Python", 213, 0, 0, 0, 25, 64, 302
"c:\Users\lukew\OneDrive - Spencer Academies Trust\VS-code\python projects\NEA Project\maps\json_test_26.json", "JSON", 0, 0, 0, 6, 0, 0, 6
"c:\Users\lukew\OneDrive - Spencer Academies Trust\VS-code\python projects\NEA Project\maps\json_test_31.json", "JSON", 0, 0, 0, 57, 0, 0, 57
"c:\Users\lukew\OneDrive - Spencer Academies Trust\VS-code\python projects\NEA Project\maps\json_test_32.json", "JSON", 0, 0, 0, 57, 0, 0, 57
"c:\Users\lukew\OneDrive - Spencer Academies Trust\VS-code\python projects\NEA Project\maps\json_test_33.json", "JSON", 0, 0, 0, 35, 0, 0, 35
"c:\Users\lukew\OneDrive - Spencer Academies Trust\VS-code\python projects\NEA Project\menus.py", "Python", 373, 0, 0, 0, 16, 110, 499
"c:\Users\lukew\OneDrive - Spencer Academies Trust\VS-code\python projects\NEA Project\old\hashingspeedtest.py", "Python", 40, 0, 0, 0, 3, 20, 63
"c:\Users\lukew\OneDrive - Spencer Academies Trust\VS-code\python projects\NEA Project\old\new_main_testing_state.py", "Python", 105, 0, 0, 0, 17, 41, 163
"c:\Users\lukew\OneDrive - Spencer Academies Trust\VS-code\python projects\NEA Project\old\oldmain.py", "Python", 82, 0, 0, 0, 25, 47, 154
"c:\Users\lukew\OneDrive - Spencer Academies Trust\VS-code\python projects\NEA Project\old\perlinNoiseold.py", "Python", 61, 0, 0, 0, 1, 28, 90
"c:\Users\lukew\OneDrive - Spencer Academies Trust\VS-code\python projects\NEA Project\old\perlinspeedtest.py", "Python", 5, 0, 0, 0, 2, 6, 13
"c:\Users\lukew\OneDrive - Spencer Academies Trust\VS-code\python projects\NEA Project\old\popupbox.py", "Python", 12, 0, 0, 0, 0, 5, 17
"c:\Users\lukew\OneDrive - Spencer Academies Trust\VS-code\python projects\NEA Project\perlinNoise.py", "Python", 53, 0, 0, 0, 6, 20, 79
"c:\Users\lukew\OneDrive - Spencer Academies Trust\VS-code\python projects\NEA Project\perlin_mapping.py", "Python", 222, 0, 0, 0, 49, 52, 323
"c:\Users\lukew\OneDrive - Spencer Academies Trust\VS-code\python projects\NEA Project\requirements.txt", "pip requirements", 0, 14, 0, 0, 0, 0, 14
"c:\Users\lukew\OneDrive - Spencer Academies Trust\VS-code\python projects\NEA Project\slider.py", "Python", 40, 0, 0, 0, 23, 24, 87
"c:\Users\lukew\OneDrive - Spencer Academies Trust\VS-code\python projects\NEA Project\test.py", "Python", 22, 0, 0, 0, 1, 9, 32
"Total", "-", 1228, 14, 1, 155, 168, 426, 1992